,0
284,136.0
285,0.0
286,0.0
287,39.0
288,23.0
289,29.0
290,0.0
291,250.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,223.0
299,1.0
300,24.0
301,0.0
302,0.0
303,199.0
304,0.0
305,7.0
306,9.0
307,0.0
308,0.0
309,0.0
310,0.0
311,146.0
312,244.0
313,0.0
314,89.0
315,69.0
316,230.0
317,27.0
318,0.0
319,0.0
320,242.0
321,23.0
322,0.0
323,0.0
324,0.0
325,0.0
326,97.0
327,36.0
328,163.0
329,129.0
330,206.0
331,0.0
332,0.0
333,211.0
334,210.0
335,46.0
336,26.0
337,0.0
338,8.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,113.0
346,72.0
347,0.0
348,182.0
349,100.0
350,6.0
351,0.0
352,0.0
353,0.0
354,231.0
355,18.0
356,8.0
357,0.0
358,90.0
359,129.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,151.0
366,0.0
367,56.0
368,112.0
369,233.0
370,0.0
371,0.0
372,246.0
373,0.0
374,0.0
375,0.0
376,4.0
377,0.0
378,0.0
379,0.0
380,105.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,228.0
388,185.0
389,124.0
390,55.0
391,180.0
392,165.0
393,72.0
394,72.0
395,5.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,81.0
402,180.0
403,92.0
404,0.0
405,228.0
406,218.0
407,147.0
408,25.0
409,122.0
410,0.0
411,76.0
412,53.0
413,0.0
414,5.0
415,0.0
416,191.0
417,234.0
418,165.0
419,57.0
420,152.0
421,0.0
422,245.0
423,0.0
424,0.0
425,0.0
426,228.0
427,0.0
428,205.0
429,0.0
430,161.0
431,229.0
432,91.0
433,0.0
434,11.0
435,237.0
436,211.0
437,0.0
438,0.0
439,109.0
440,7.0
441,106.0
442,94.0
443,195.0
444,0.0
445,15.0
446,0.0
447,34.0
448,0.0
449,47.0
450,230.0
451,0.0
452,75.0
453,220.0
454,0.0
455,0.0
456,13.0
457,0.0
458,0.0
459,0.0
460,131.0
461,134.0
462,0.0
463,0.0
464,0.0
465,100.0
466,0.0
467,0.0
468,29.0
469,0.0
470,162.0
471,60.0
472,21.0
473,0.0
474,199.0
475,43.0
476,54.0
477,119.0
478,189.0
479,143.0
480,217.0
481,0.0
482,194.0
483,0.0
484,166.0
485,76.0
486,248.0
487,104.0
488,0.0
489,0.0
490,0.0
491,227.0
492,181.0
493,0.0
494,0.0
495,168.0
496,0.0
497,112.0
498,137.0
499,135.0
500,152.0
501,145.0
502,76.0
503,221.0
504,0.0
505,208.0
506,141.0
507,0.0
508,0.0
509,0.0
510,215.0
511,144.0
512,56.0
513,228.0
514,124.0
515,0.0
516,0.0
517,166.0
518,81.0
519,0.0
520,42.0
521,208.0
522,124.0
523,0.0
524,0.0
525,227.0
526,0.0
527,0.0
528,118.0
529,0.0
530,110.0
531,128.0
532,0.0
533,199.0
534,0.0
535,232.0
536,0.0
537,33.0
538,207.0
539,0.0
540,0.0
541,0.0
542,38.0
543,173.0
544,137.0
545,36.0
546,149.0
547,179.0
548,0.0
549,254.0
550,0.0
551,0.0
552,106.0
553,104.0
554,0.0
555,154.0
556,0.0
557,0.0
558,0.0
559,0.0
560,34.0
561,0.0
562,0.0
563,163.0
564,0.0
565,154.0
566,244.0
567,0.0
568,0.0
569,75.0
570,0.0
571,0.0
572,47.0
573,45.0
574,248.0
575,0.0
576,52.0
577,0.0
578,171.0
579,74.0
580,0.0
581,84.0
582,0.0
583,0.0
584,142.0
585,0.0
586,0.0
587,212.0
588,0.0
589,162.0
590,0.0
591,0.0
592,0.0
593,60.0
594,250.0
595,0.0
596,0.0
597,0.0
598,219.0
599,190.0
600,0.0
601,126.0
602,0.0
603,140.0
604,198.0
605,99.0
606,0.0
607,0.0
608,0.0
609,0.0
610,198.0
611,24.0
612,245.0
613,0.0
614,0.0
615,0.0
616,42.0
617,202.0
618,199.0
619,206.0
620,0.0
621,0.0
622,31.0
623,250.0
624,0.0
625,184.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,132.0
632,190.0
633,249.0
634,0.0
635,68.0
636,0.0
637,122.0
638,229.0
639,0.0
640,102.0
641,98.0
642,118.0
643,42.0
644,0.0
645,245.0
646,0.0
647,0.0
648,11.0
649,42.0
650,46.0
651,0.0
652,220.0
653,0.0
654,18.0
655,0.0
656,0.0
657,0.0
658,133.0
659,39.0
660,0.0
661,0.0
662,0.0
663,0.0
664,79.0
665,22.0
666,181.0
667,0.0
668,107.0
669,0.0
670,0.0
671,69.0
672,88.0
673,25.0
674,135.0
675,14.0
676,167.0
677,0.0
678,0.0
679,7.0
680,172.0
681,81.0
682,0.0
683,206.0
684,193.0
685,62.0
686,0.0
687,10.0
688,0.0
689,0.0
690,95.0
691,0.0
692,246.0
693,0.0
